isbn,title,authors,description,subjects,text,wiki_description
0345337662,Interview with the Vampire,Anne Rice,,"gothic horror, vampire literature, Vampires, Translations into Spanish, Fiction, Novela, Spanish imprints, Spanish fiction, American fiction, Vampiros, Horror fiction, Vampires in fiction, Imaginary interviews, Lestat (Fictitious character), Reading Level-Grade 11, Reading Level-Grade 12, Lestat (fictitious character), fiction, Vampires, fiction, Italy, fiction, Fiction, horror, Fiction, ghost, Fiction, general, French fiction, Romans, nouvelles, Roman français","Interview with the Vampire Anne Rice gothic horror, vampire literature, Vampires, Translations into Spanish, Fiction, Novela, Spanish imprints, Spanish fiction, American fiction, Vampiros, Horror fiction, Vampires in fiction, Imaginary interviews, Lestat (Fictitious character), Reading Level-Grade 11, Reading Level-Grade 12, Lestat (fictitious character), fiction, Vampires, fiction, Italy, fiction, Fiction, horror, Fiction, ghost, Fiction, general, French fiction, Romans, nouvelles, Roman français","Interview with the Vampire is a gothic horror and vampire novel by American author Anne Rice, published in 1976. It was her debut novel. Based on a short story Rice wrote around 1968, the novel centers on vampire Louis de Pointe du Lac, who tells the story of his life to a reporter."
0375725849,Perfume,Patrick Süskind,,"Historical fiction, psychological thriller, dark fantasy, coming-of-age, murder mystery, obsession, perfume, scent, olfactory, senses, identity, love, loneliness, 18th century France, Fiction, suspense, France, fiction, Fiction, historical, general, Perfumes, Odors, Murderers, Fiction, Parfum (Motion picture)","Perfume Patrick Süskind Historical fiction, psychological thriller, dark fantasy, coming-of-age, murder mystery, obsession, perfume, scent, olfactory, senses, identity, love, loneliness, 18th century France, Fiction, suspense, France, fiction, Fiction, historical, general, Perfumes, Odors, Murderers, Fiction, Parfum (Motion picture)","Perfume (UK: , US:  ) is a mixture of fragrant essential oils or aroma compounds (fragrances), fixatives and solvents, usually in liquid form, used to give the human body, animals, food, objects, and living-spaces an agreeable scent.  Perfumes can be defined as substances that emit and diffuse a pleasant and fragrant odor. They consist of artificial mixtures of aromatic chemicals and essential oils."
0380718340,Cruel & Unusual (Kay Scarpetta Mysteries),Patricia Cornwell,,"Fiction, mystery & detective, women sleuths, Scarpetta, kay (fictitious character), fiction, Virginia, fiction, Forensic pathologists, fiction","Cruel & Unusual (Kay Scarpetta Mysteries) Patricia Cornwell Fiction, mystery & detective, women sleuths, Scarpetta, kay (fictitious character), fiction, Virginia, fiction, Forensic pathologists, fiction",
0425162443,The Rapture of Canaan,Sheri Reynolds,,"Fiction, Teenage girls, Clergy, Family, Families, Domestic fiction, Romance, Teenage pregnancy, Large type books, South carolina, fiction, Clergy, fiction, Fiction, religious, Fiction, sagas, Religious fiction","The Rapture of Canaan Sheri Reynolds Fiction, Teenage girls, Clergy, Family, Families, Domestic fiction, Romance, Teenage pregnancy, Large type books, South carolina, fiction, Clergy, fiction, Fiction, religious, Fiction, sagas, Religious fiction","The Rapture of Canaan is a 1995 novel by Sheri Reynolds. The book was chosen as an Oprah's Book Club selection in 1997, and the paperback edition subsequently made the Publishers Weekly and New York Times bestseller lists."
0425178579,Betrayal in death,Nora Roberts,,"Women detectives, Detective and mystery stories, Police, Eve Dallas (Fictitious character), Policewomen, Open Library Staff Picks, Fiction, Russian Detective and mystery stories, Love stories, American, Large type books, Fiction, mystery & detective, women sleuths, Dallas, eve (fictitious character), fiction, Fiction, romance, suspense, Policewomen, fiction, New york (n.y.), fiction, Fiction, mystery & detective, police procedural","Betrayal in death Nora Roberts Women detectives, Detective and mystery stories, Police, Eve Dallas (Fictitious character), Policewomen, Open Library Staff Picks, Fiction, Russian Detective and mystery stories, Love stories, American, Large type books, Fiction, mystery & detective, women sleuths, Dallas, eve (fictitious character), fiction, Fiction, romance, suspense, Policewomen, fiction, New york (n.y.), fiction, Fiction, mystery & detective, police procedural",
0440213525,The Client,John Grisham,,"suicide, Fifth Amendment, lawyers, FBI, United States attorney, legal thriller, Organized crime, USA, Fiction, Child witnesses, Murder, Brothers, Legal stories, Mystery, Attorney and client, Confidential communications, Fiction in Italian, Women lawyers, Suicide victims, Suspense, Mafia, Women lawyers -- Fiction, Attorney and client -- Fiction, Child witnesses -- Fiction, Suicide victims -- Fiction, Organized crime -- Fiction, Brothers -- Fiction, New Orleans (La.) -- Fiction, Memphis (Tenn.) -- Fiction, USA Federal Bureau of Investigation, Fiction, mystery & detective, general, Fiction, thrillers, general, Priče umorov, V leposlovju, Pravnice, Mafija, Najeti morilci, Pravniki, Zaščita prič, Large type books, Louisiana, fiction, New orleans (la.), fiction, Fiction, legal, Lawyers, fiction, Fiction, thrillers, suspense, Women lawyers, fiction, Crime, fiction, Brothers, fiction, Tennessee, fiction, American Legal stories, Translations into German, Romans, nouvelles, Avocates, Enfants témoins, Suicidés, Crime organisé, Frères","The Client John Grisham suicide, Fifth Amendment, lawyers, FBI, United States attorney, legal thriller, Organized crime, USA, Fiction, Child witnesses, Murder, Brothers, Legal stories, Mystery, Attorney and client, Confidential communications, Fiction in Italian, Women lawyers, Suicide victims, Suspense, Mafia, Women lawyers -- Fiction, Attorney and client -- Fiction, Child witnesses -- Fiction, Suicide victims -- Fiction, Organized crime -- Fiction, Brothers -- Fiction, New Orleans (La.) -- Fiction, Memphis (Tenn.) -- Fiction, USA Federal Bureau of Investigation, Fiction, mystery & detective, general, Fiction, thrillers, general, Priče umorov, V leposlovju, Pravnice, Mafija, Najeti morilci, Pravniki, Zaščita prič, Large type books, Louisiana, fiction, New orleans (la.), fiction, Fiction, legal, Lawyers, fiction, Fiction, thrillers, suspense, Women lawyers, fiction, Crime, fiction, Brothers, fiction, Tennessee, fiction, American Legal stories, Translations into German, Romans, nouvelles, Avocates, Enfants témoins, Suicidés, Crime organisé, Frères",Client(s) or The Client may refer to:
0440224675,Hannibal,Thomas Harris,,"Fiction, Government investigators, Revenge, Fugitives from justice, Serial murderers, Psychological fiction, Suspense fiction, horror fiction, mystery fiction, Federal Bureau of Investigation, mentally ill offenders, employees, lobotomy, prefrontal cortex, psychotropic drugs, behavioral therapy, brainwashing, sodomy, child sexual abuse, rape, homosexuality, Pazzi conspiracy, Thriller, Hannibal Lector (Fictitious character), Venganza, Hannibal Lector (Personaje literario), Asesinos seriales, Novela psicológica, Fugitivos de la justicia, Novela de suspense, Ficción, Investigadores gubernamentales, Hannibal Lecter (Fictitious character), Fiction, horror, Fiction, psychological, Lecter, hannibal (fictitious character), fiction, Fiction, thrillers, general, Fiction, suspense, Fiction, mystery & detective, women sleuths, Italy, fiction, Large type books, Officials and employees, Victims, Dangerously mentally ill, United States. Federal Bureau of Investigation, United States, Literature, Homicide, Serial killers, Fiction, thrillers, suspense","Hannibal Thomas Harris Fiction, Government investigators, Revenge, Fugitives from justice, Serial murderers, Psychological fiction, Suspense fiction, horror fiction, mystery fiction, Federal Bureau of Investigation, mentally ill offenders, employees, lobotomy, prefrontal cortex, psychotropic drugs, behavioral therapy, brainwashing, sodomy, child sexual abuse, rape, homosexuality, Pazzi conspiracy, Thriller, Hannibal Lector (Fictitious character), Venganza, Hannibal Lector (Personaje literario), Asesinos seriales, Novela psicológica, Fugitivos de la justicia, Novela de suspense, Ficción, Investigadores gubernamentales, Hannibal Lecter (Fictitious character), Fiction, horror, Fiction, psychological, Lecter, hannibal (fictitious character), fiction, Fiction, thrillers, general, Fiction, suspense, Fiction, mystery & detective, women sleuths, Italy, fiction, Large type books, Officials and employees, Victims, Dangerously mentally ill, United States. Federal Bureau of Investigation, United States, Literature, Homicide, Serial killers, Fiction, thrillers, suspense","Hannibal (; Punic: 𐤇𐤍𐤁𐤏𐤋, romanized: Ḥanībaʿl; 247 – between 183 and 181 BC) was a Carthaginian general and statesman who commanded the forces of Carthage in their battle against the Roman Republic during the Second Punic War.
Hannibal's father, Hamilcar Barca, was a leading Carthaginian general during the First Punic War. His younger brothers were Mago and Hasdrubal; his brother-in-law was Hasdrubal the Fair, who commanded other Carthaginian armies."
0440226104,Black and blue,Anna Quindlen,,"Mothers and sons, fiction, Florida, fiction, Man-woman relationships, fiction, Fiction, general, Man-woman relationships, Fiction, Abused wives, Mothers and sons","Black and blue Anna Quindlen Mothers and sons, fiction, Florida, fiction, Man-woman relationships, fiction, Fiction, general, Man-woman relationships, Fiction, Abused wives, Mothers and sons",Black and Blue is a 1976 album by The Rolling Stones.
0446601241,Kiss the Girls,James Patterson,,"Fiction, Police, Serial murders, Alex Cross (Fictitious character), Psychologists, Police psychologists, African American police, Detective and mystery stories, Suspense, Thriller, African American psychologists, Cross, Alex (Personaje ficticio), Novela, Psicólogos afronorteamericanos, collectionid:ac","Kiss the Girls James Patterson Fiction, Police, Serial murders, Alex Cross (Fictitious character), Psychologists, Police psychologists, African American police, Detective and mystery stories, Suspense, Thriller, African American psychologists, Cross, Alex (Personaje ficticio), Novela, Psicólogos afronorteamericanos, collectionid:ac",Kiss the Girls can refer to the following:
0446611212,Violets are blue,James Patterson,,"Fiction, Police, Vampires, Role playing, Alex Cross (Fictitious character), Police psychologists, African American police, Detective and mystery stories, Suspense fiction, Serial murders, Suspense, Cross, alex (fictitious character), fiction, Washington (d.c.), fiction, San francisco (calif.), fiction, Vampires, fiction, Fiction, mystery & detective, police procedural, Fiction, suspense, Fiction, psychological, Fiction, thrillers, suspense, Adventure / thriller, Crime & mystery, Mystery/Suspense, collectionid:ac","Violets are blue James Patterson Fiction, Police, Vampires, Role playing, Alex Cross (Fictitious character), Police psychologists, African American police, Detective and mystery stories, Suspense fiction, Serial murders, Suspense, Cross, alex (fictitious character), fiction, Washington (d.c.), fiction, San francisco (calif.), fiction, Vampires, fiction, Fiction, mystery & detective, police procedural, Fiction, suspense, Fiction, psychological, Fiction, thrillers, suspense, Adventure / thriller, Crime & mystery, Mystery/Suspense, collectionid:ac",Violets Are Blue may refer to:
0449212602,The Handmaid's Tale,Margaret Atwood,,"brothels, Canadian authors, Canadian fantasy fiction, Canadian fiction (fictional works by one author), Christian fundamentalism, Dystopian fiction, Dystopias, fantasy fiction, Fiction, Fiction, dystopian, Fiction, fantasy, general, handmaids, Large type books, Man-woman relationships, Man-woman relationships, fiction, military dictatorship, Misogyny, New York Times bestseller, nyt:e-book-fiction=2017-01-22, nyt:trade-fiction-paperback=2017-02-26, Old Testament, Political, political fiction, pregnancy, religious fanaticism, revolution, science fiction, Scrabble, Social aspects, theocracy, theonomy, totalitarianism, United States Congress, Women, Study guides, History and criticism, Handmaid's tale (Atwood, Margaret), Roman canadien de langue anglaise, Misogynie, collectionID:EanesChallenge, Romans, nouvelles, Femmes, collectionID:ConroeChallenge, FICTION / Dystopian, FICTION / Political, FICTION / Science Fiction, Teen fiction, World literature, Fiction subjects, Science fiction & fantasy, Comics & graphic novels, adaptations, Comics & graphic novels, literary, Comics & graphic novels, fantasy, Dystopian, Foreign relations, Neutrality, Long Now Manual for Civilization","The Handmaid's Tale Margaret Atwood brothels, Canadian authors, Canadian fantasy fiction, Canadian fiction (fictional works by one author), Christian fundamentalism, Dystopian fiction, Dystopias, fantasy fiction, Fiction, Fiction, dystopian, Fiction, fantasy, general, handmaids, Large type books, Man-woman relationships, Man-woman relationships, fiction, military dictatorship, Misogyny, New York Times bestseller, nyt:e-book-fiction=2017-01-22, nyt:trade-fiction-paperback=2017-02-26, Old Testament, Political, political fiction, pregnancy, religious fanaticism, revolution, science fiction, Scrabble, Social aspects, theocracy, theonomy, totalitarianism, United States Congress, Women, Study guides, History and criticism, Handmaid's tale (Atwood, Margaret), Roman canadien de langue anglaise, Misogynie, collectionID:EanesChallenge, Romans, nouvelles, Femmes, collectionID:ConroeChallenge, FICTION / Dystopian, FICTION / Political, FICTION / Science Fiction, Teen fiction, World literature, Fiction subjects, Science fiction & fantasy, Comics & graphic novels, adaptations, Comics & graphic novels, literary, Comics & graphic novels, fantasy, Dystopian, Foreign relations, Neutrality, Long Now Manual for Civilization","The Handmaid's Tale is a futuristic dystopian novel by Canadian author Margaret Atwood published in 1985. It is set in a near-future New England in a patriarchal, totalitarian theonomic state known as the Republic of Gilead, which has overthrown the United States government. Offred is the central character and narrator and one of the ""Handmaids"": women who are forcibly assigned to produce children for the ""Commanders"", who are the ruling class in Gilead."
0449219461,"""H"" is for homicide",Sue Grafton,,"Detective and mystery stories, Women private investigators, Fiction, Mystery- Fiction, Kinsey Millhone (Fictitious character), Private investigators, Women detectives, Fiction, mystery & detective, women sleuths, Millhone, kinsey (fictitious character), fiction, California, fiction, Santa teresa (calif. : imaginary place), fiction, Private investigators, fiction, Open Library Staff Picks, Large type books, American literature","""H"" is for homicide Sue Grafton Detective and mystery stories, Women private investigators, Fiction, Mystery- Fiction, Kinsey Millhone (Fictitious character), Private investigators, Women detectives, Fiction, mystery & detective, women sleuths, Millhone, kinsey (fictitious character), fiction, California, fiction, Santa teresa (calif. : imaginary place), fiction, Private investigators, fiction, Open Library Staff Picks, Large type books, American literature",
0449907481,A thousand acres,Jane Smiley,,"Fiction, Family farms, Parent and adult child, Fathers and daughters, Inheritance and succession, Aging parents, Sisters, Farm life, National Book Critics Circle Award Winner, award:national_book_critics_circle_award=1991, award:national_book_critics_circle_award=fiction, Incest, Sexual Child Abuse, Fictional Works, Father-Child Relations, Family Relations, Amerikansk skønlitteratur, open_syllabus_project, Child Abuse, Sexual, Father-daughter relationship, Parent-child relationship, Domestic fiction, Large type books, Fathers and daughters, fiction, Iowa, fiction, Fiction, family life, general, Sisters, fiction","A thousand acres Jane Smiley Fiction, Family farms, Parent and adult child, Fathers and daughters, Inheritance and succession, Aging parents, Sisters, Farm life, National Book Critics Circle Award Winner, award:national_book_critics_circle_award=1991, award:national_book_critics_circle_award=fiction, Incest, Sexual Child Abuse, Fictional Works, Father-Child Relations, Family Relations, Amerikansk skønlitteratur, open_syllabus_project, Child Abuse, Sexual, Father-daughter relationship, Parent-child relationship, Domestic fiction, Large type books, Fathers and daughters, fiction, Iowa, fiction, Fiction, family life, general, Sisters, fiction",
0451205413,L.A. justice,Christopher A. Darden,,"Fiction, African Americans, African American women lawyers, African American public prosecutors, Fiction, legal, Fiction, mystery & detective, general, African americans, fiction, Los angeles (calif.), fiction","L.A. justice Christopher A. Darden Fiction, African Americans, African American women lawyers, African American public prosecutors, Fiction, legal, Fiction, mystery & detective, general, African americans, fiction, Los angeles (calif.), fiction",
0452282829,We were the Mulvaneys,Joyce Carol Oates,,"Families, Family, Farm life, Fiction, Literature, Rape victims, Secrecy, Teenage girls, Teenage girls -- Fiction, Rape victims -- Fiction, Farm life -- Fiction, Families -- Fiction, New York (State) -- Fiction, Fiction, family life, New york (state), fiction, Large type books, Fiction, family life, general, Oates, joyce carol, 1938-","We were the Mulvaneys Joyce Carol Oates Families, Family, Farm life, Fiction, Literature, Rape victims, Secrecy, Teenage girls, Teenage girls -- Fiction, Rape victims -- Fiction, Farm life -- Fiction, Families -- Fiction, New York (State) -- Fiction, Fiction, family life, New york (state), fiction, Large type books, Fiction, family life, general, Oates, joyce carol, 1938-",
0553279556,"""E"" is for evidence",Sue Grafton,,"Women detectives, Detective and mystery stories, Open Library Staff Picks, Women private investigators, Fiction, Kinsey Millhone (Fictitious character), Private investigators, Fiction, mystery & detective, women sleuths, Millhone, kinsey (fictitious character), fiction, California, fiction, Santa teresa (calif. : imaginary place), fiction, Private investigators, fiction, Large type books","""E"" is for evidence Sue Grafton Women detectives, Detective and mystery stories, Open Library Staff Picks, Women private investigators, Fiction, Kinsey Millhone (Fictitious character), Private investigators, Fiction, mystery & detective, women sleuths, Millhone, kinsey (fictitious character), fiction, California, fiction, Santa teresa (calif. : imaginary place), fiction, Private investigators, fiction, Large type books",
0553279912,"""A"" is for alibi",Sue Grafton,,"Foreign speakers, Detective and mystery stories, Private investigators in fiction, Women private investigators, Open Library Staff Picks, Private investigators, English language, Fiction, Study and teaching, Readers (Adult), Women detectives in fiction, Women private investigators in fiction, California in fiction, Women detectives, Kinsey Millhone (Fictitious character), Millhone, kinsey (fictitious character), fiction, Fiction, mystery & detective, women sleuths, Private investigators, fiction, Santa teresa (calif. : imaginary place), fiction, California, fiction, FICTION / Mystery & Detective / Private Investigators, FICTION / Mystery & Detective / Women Sleuths, Mystery fiction, Mystery and detective stories","""A"" is for alibi Sue Grafton Foreign speakers, Detective and mystery stories, Private investigators in fiction, Women private investigators, Open Library Staff Picks, Private investigators, English language, Fiction, Study and teaching, Readers (Adult), Women detectives in fiction, Women private investigators in fiction, California in fiction, Women detectives, Kinsey Millhone (Fictitious character), Millhone, kinsey (fictitious character), fiction, Fiction, mystery & detective, women sleuths, Private investigators, fiction, Santa teresa (calif. : imaginary place), fiction, California, fiction, FICTION / Mystery & Detective / Private Investigators, FICTION / Mystery & Detective / Women Sleuths, Mystery fiction, Mystery and detective stories",
0553280341,B is for burglar.,Sue Grafton,,"Fiction, Kinsey Millhone (Fictitious character), Women private investigators, Burglary, Private investigators, Women detectives, Millhone, kinsey (fictitious character), fiction, Fiction, mystery & detective, women sleuths, Santa teresa (calif. : imaginary place), fiction, Private investigators, fiction, Large type books, Detective and mystery stories, Kinsey Millhone (Fictional character), Mystery fiction, Mystery and detective stories","B is for burglar. Sue Grafton Fiction, Kinsey Millhone (Fictitious character), Women private investigators, Burglary, Private investigators, Women detectives, Millhone, kinsey (fictitious character), fiction, Fiction, mystery & detective, women sleuths, Santa teresa (calif. : imaginary place), fiction, Private investigators, fiction, Large type books, Detective and mystery stories, Kinsey Millhone (Fictional character), Mystery fiction, Mystery and detective stories",
0553572997,The alienist,Caleb Carr,,"Fiction, Serial murders, Mystery fiction, Historical fiction, Serial murders -- Fiction, Psychologists, Police corruption, Journalists, Serial murders, fiction, New york (n.y.), fiction, Fiction, mystery & detective, general, Fiction, historical, Homicide, Large type books, New York Times reviewed, Kreizler, laszlo (fictitious character), fiction, Forensic psychiatrists, fiction, Fiction, historical, general, Asesinatos seriales, Novela policíaca, Ficción, Novela histórica, Unabridged Books on compact disc, Audiobooks, Novela policíaca americana, Novela policíaca americana -- Ficción, New York (N.Y.) -- Fiction, Nueva York (N.Y.) -- Ficción, Fiction, thrillers, general, Fiction, suspense, Fiction, mystery & detective, historical","The alienist Caleb Carr Fiction, Serial murders, Mystery fiction, Historical fiction, Serial murders -- Fiction, Psychologists, Police corruption, Journalists, Serial murders, fiction, New york (n.y.), fiction, Fiction, mystery & detective, general, Fiction, historical, Homicide, Large type books, New York Times reviewed, Kreizler, laszlo (fictitious character), fiction, Forensic psychiatrists, fiction, Fiction, historical, general, Asesinatos seriales, Novela policíaca, Ficción, Novela histórica, Unabridged Books on compact disc, Audiobooks, Novela policíaca americana, Novela policíaca americana -- Ficción, New York (N.Y.) -- Fiction, Nueva York (N.Y.) -- Ficción, Fiction, thrillers, general, Fiction, suspense, Fiction, mystery & detective, historical",
0671001795,Two for the dough,Janet Evanovich,,"Bounty hunters, Fiction, Stephanie Plum (Fictitious character), Women detectives, Mystery fiction, Private investigators, Detective and mystery stories, Large type books, Fiction, mystery & detective, women sleuths, Plum, stephanie (fictitious character), fiction, Trenton (n.j.), fiction, Fiction, humorous, nyt:e-book-fiction=2012-02-19, New York Times bestseller, Fiction, humorous, general, Fiction, thrillers, crime, Fiction, crime, Fiction, media tie-in","Two for the dough Janet Evanovich Bounty hunters, Fiction, Stephanie Plum (Fictitious character), Women detectives, Mystery fiction, Private investigators, Detective and mystery stories, Large type books, Fiction, mystery & detective, women sleuths, Plum, stephanie (fictitious character), fiction, Trenton (n.j.), fiction, Fiction, humorous, nyt:e-book-fiction=2012-02-19, New York Times bestseller, Fiction, humorous, general, Fiction, thrillers, crime, Fiction, crime, Fiction, media tie-in",
0671021001,She's come undone,Wally Lamb,,"Self-perception, Fiction, Fiction, psychological, Fiction, coming of age, Young women, fiction","She's come undone Wally Lamb Self-perception, Fiction, Fiction, psychological, Fiction, coming of age, Young women, fiction",
0679750304,The culture of desire,"Frank Browning, Frank Browning",,"Gay men, Lifestyles, Gay culture, Subculture, Sexuality, Identity","The culture of desire Frank Browning, Frank Browning Gay men, Lifestyles, Gay culture, Subculture, Sexuality, Identity",
067976402X,Snow Falling on Cedars,David Guterson,,"Dear John letters, internment camps, strawberries, 442nd Regimental Combat Team, attack on Pearl Harbor, fishermen, anti-Japanese sentiments, U.S. Marine Corps, Battle of Tarawa, Modern & contemporary fiction, murder trials, legal stories, Japanese Americans, Japanese Americans in fiction, award:pen_faulkner_award=fiction, Trials (Murder), PEN/Faulkner Award Winner, Journalists in fiction, Open Library Staff Picks, award:pen_faulkner_award=1995, Journalists, Fiction, Trials (Homicide), Japaner, 20th century, American literature, Fictional Works, University of South Alabama, Deutscher Einwanderer, Mord, Washington (state), fiction, Journalists, fiction, Japanese americans, fiction, Fiction, legal, French language, Trials (Murder.), Liability for hazardous substances pollution damages, Trials, united states, Toxic torts, Groundwater, pollution, Fiction, general, Fiction, short stories (single author), Japanese americans--washington (state)--fiction, Trials (murder)--washington (state)--fiction, Journalists--washington (state)--fiction, Japanese americans--fiction, Trials (murder)--fiction, Journalists--fiction, --fictional works, Ps3557.u846 s65 1995, 813/.54","Snow Falling on Cedars David Guterson Dear John letters, internment camps, strawberries, 442nd Regimental Combat Team, attack on Pearl Harbor, fishermen, anti-Japanese sentiments, U.S. Marine Corps, Battle of Tarawa, Modern & contemporary fiction, murder trials, legal stories, Japanese Americans, Japanese Americans in fiction, award:pen_faulkner_award=fiction, Trials (Murder), PEN/Faulkner Award Winner, Journalists in fiction, Open Library Staff Picks, award:pen_faulkner_award=1995, Journalists, Fiction, Trials (Homicide), Japaner, 20th century, American literature, Fictional Works, University of South Alabama, Deutscher Einwanderer, Mord, Washington (state), fiction, Journalists, fiction, Japanese americans, fiction, Fiction, legal, French language, Trials (Murder.), Liability for hazardous substances pollution damages, Trials, united states, Toxic torts, Groundwater, pollution, Fiction, general, Fiction, short stories (single author), Japanese americans--washington (state)--fiction, Trials (murder)--washington (state)--fiction, Journalists--washington (state)--fiction, Japanese americans--fiction, Trials (murder)--fiction, Journalists--fiction, --fictional works, Ps3557.u846 s65 1995, 813/.54","Snow Falling on Cedars is a 1994 novel by David Guterson. Guterson, a teacher, wrote the book in the early morning hours over ten years, until eventually quitting his job to write full-time, following its success."
068484477X,Stones from the river,Ursula Hegi,,"City and town life, Dwarfs, Fiction, Historical fiction, History, History 20th century, Women librarians, English fiction, United States, Germany, fiction, Librarians, fiction, Fiction, historical, Large type books, Dwarfs (Persons), Librarians, Fiction, historical, general","Stones from the river Ursula Hegi City and town life, Dwarfs, Fiction, Historical fiction, History, History 20th century, Women librarians, English fiction, United States, Germany, fiction, Librarians, fiction, Fiction, historical, Large type books, Dwarfs (Persons), Librarians, Fiction, historical, general","Stones from the River is the third-person omniscient 1994 novel by Ursula Hegi which chronicles 40 years of the life of Trudi, a woman with dwarfism, as she navigates the silently complicit, violent, and redemptive era of World War I and II Germany in the fictional town of Burgdorf.
Ursula Hegi's status as a German immigrant to America played a key role in shaping Stones from the River.
Stones from the River received multiple accolades and became a bestseller in 1997 when selected for Oprah's Book Club."
080410753X,The Kitchen God's Wife,Amy Tan,,"Chinese fiction, Family, Fiction, California, fiction, China, fiction, Fiction, family life, general, Mothers and daughters, fiction, Chinese Americans, fiction, Chinese American families, fiction, Chinese, Literature, Romance, United States, Domestic fiction, +Fiction, Families, Female friendship, Mother-daughter relationship, FICTION / Sagas, FICTION / Asian American, FICTION / Literary, Large type books, Literary Criticism, Nonfiction, Fiction, short stories (single author), Literature, modern, outlines, syllabi, etc., Modern Literature, Asian Americans, Mother-Child Relations, Chinese American families, Chinese Americans, Mothers and daughters","The Kitchen God's Wife Amy Tan Chinese fiction, Family, Fiction, California, fiction, China, fiction, Fiction, family life, general, Mothers and daughters, fiction, Chinese Americans, fiction, Chinese American families, fiction, Chinese, Literature, Romance, United States, Domestic fiction, +Fiction, Families, Female friendship, Mother-daughter relationship, FICTION / Sagas, FICTION / Asian American, FICTION / Literary, Large type books, Literary Criticism, Nonfiction, Fiction, short stories (single author), Literature, modern, outlines, syllabi, etc., Modern Literature, Asian Americans, Mother-Child Relations, Chinese American families, Chinese Americans, Mothers and daughters","The Kitchen God's Wife is the second novel by Chinese-American author Amy Tan. First published in 1991, it deals extensively with Chinese-American female identity and draws on the story of her mother's life."
0006471161,The sum of all fears,Tom Clancy,,"Intelligence service, Jack Ryan (Fictitious character), Fiction, Nuclear warfare, Spies, Open Library Staff Picks, Terrorism, Spy stories, Ryan, Jack (Fictitious character) -- Fiction, Intelligence service -- United States -- Fiction, Terrorism, fiction, Fiction, thrillers, general, Middle east, fiction, Ryan, jack (fictitious character), fiction, Fiction, espionage, Clark, john (fictitious character), fiction, Large type books, Sr. Ryan, Jack (Fictitious character), Fiction, thrillers, espionage, Computer games","The sum of all fears Tom Clancy Intelligence service, Jack Ryan (Fictitious character), Fiction, Nuclear warfare, Spies, Open Library Staff Picks, Terrorism, Spy stories, Ryan, Jack (Fictitious character) -- Fiction, Intelligence service -- United States -- Fiction, Terrorism, fiction, Fiction, thrillers, general, Middle east, fiction, Ryan, jack (fictitious character), fiction, Fiction, espionage, Clark, john (fictitious character), fiction, Large type books, Sr. Ryan, Jack (Fictitious character), Fiction, thrillers, espionage, Computer games","The Sum of All Fears is a political thriller novel, written by Tom Clancy and released on August 14, 1991, as the sequel to Clear and Present Danger (1989). Main character Jack Ryan, who is now the Deputy Director of Central Intelligence, tries to stop a crisis concerning the Middle East peace process wherein Palestinian and former East German terrorists conspire to bring the United States and Soviet Union into nuclear war. It debuted at number one on the New York Times bestseller list."
0060928336,Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells,,"Fiction, Literature, Conflict of generations, Family, Female friendship, Mothers and daughters, Women, Friendship, Families, Literary, Fiction - General, Fiction / General, General, Fiction, family life, Mothers and daughters, fiction, Friendship, fiction, Louisiana, fiction, Washington (state), fiction, Mother-daughter relationship, Louisiana, Fiction, general","Divine Secrets of the Ya-Ya Sisterhood Rebecca Wells Fiction, Literature, Conflict of generations, Family, Female friendship, Mothers and daughters, Women, Friendship, Families, Literary, Fiction - General, Fiction / General, General, Fiction, family life, Mothers and daughters, fiction, Friendship, fiction, Louisiana, fiction, Washington (state), fiction, Mother-daughter relationship, Louisiana, Fiction, general","Divine Secrets of the Ya-Ya Sisterhood is a 1996 novel written by Rebecca Wells. It follows the novel Little Altars Everywhere. In 2005, Wells wrote Ya-Yas in Bloom and then The Crowning Glory of Calla Lily Ponder."
0060971479,The all of it,Jeannette Haien,,"Confession in fiction, Brothers and sisters, Literature, Confession, Fiction, Brothers and sisters in fiction, Brothers and sisters, fiction, Siblings, fiction, Clergy, Doctrines, Salmon fishing, Spouses, Widows, Catholic Church","The all of it Jeannette Haien Confession in fiction, Brothers and sisters, Literature, Confession, Fiction, Brothers and sisters in fiction, Brothers and sisters, fiction, Siblings, fiction, Clergy, Doctrines, Salmon fishing, Spouses, Widows, Catholic Church",
0060976845,Little altars everywhere,"Wells, Rebecca",,"Fiction, Catholics, Family, Dysfunctional families, Problem families, Families, Louisiana, fiction, Fiction, general","Little altars everywhere Wells, Rebecca Fiction, Catholics, Family, Dysfunctional families, Problem families, Families, Louisiana, fiction, Fiction, general",
